Depthmm,DepthCm,age_calBP,Ti,runningmeanTi,Ca,Carunningmean,Si,Sirunningmean,MnFe,MnFerunningmean,IncCoh,IncCohrunningmean,TiLog
1338,133.8,2806,3.181642252,3.667004679,6.835610777,6.983318243,2.886438332,4.328862237,8.961129645,10.12438402,5794.997779,5769.064025,0.502651345
1339,133.9,2808,3.405475497,3.669819691,6.894500441,6.993964063,4.444830629,4.341265054,10.96379769,10.08871099,5786.827176,5765.809778,0.53217776
1340,134,2810,2.651717567,3.684571819,5.636160152,7.032379868,3.629727468,4.331576422,10.92654479,10.0704991,5799.896206,5763.942774,0.423527266
1341,134.1,2812,3.07319768,3.714186241,5.71634617,7.117572354,4.532056859,4.354306423,12.19531069,10.0669655,5861.944876,5759.321813,0.487590497
1342,134.2,2813,3.177664235,3.750603515,6.352014951,7.217065171,3.943087006,4.37427512,11.03206516,10.04827825,5854.087426,5753.397262,0.502108006
1343,134.3,2815,3.248609509,3.785962965,5.928794974,7.337330556,3.833557508,4.400399308,11.62396688,10.04252317,5852.08396,5744.842153,0.511697511
1344,134.4,2817,3.106225655,3.814716227,6.090314914,7.429205927,5.281573909,4.422013042,10.62316903,10.02668298,5842.326156,5736.926286,0.492233002
1345,134.5,2818,3.47947112,3.843483535,6.08990687,7.491287826,3.496119308,4.420564255,11.88283785,10.01416996,5844.21647,5731.747988,0.541513236
1346,134.6,2820,3.309648591,3.867001649,6.149819867,7.557852947,3.762477775,4.444621135,10.8126565,9.999947035,5847.355769,5726.205963,0.519781884
1347,134.7,2822,3.394408709,3.894098364,6.386589796,7.62532459,3.858769053,4.479373679,10.6654301,9.989296072,5803.589095,5720.514948,0.530764133
1348,134.8,2824,3.379998555,3.916142093,5.777859531,7.680959375,5.255585702,4.501274433,10.90764104,9.971011409,5798.734624,5715.737213,0.528916515
1349,134.9,2825,2.965506477,3.934717794,5.787940274,7.721801576,2.8289371,4.505063192,8.663530787,9.954909839,5869.319285,5710.983554,0.472098877
1350,135,2827,3.382566618,3.947214679,6.165269206,7.737574586,4.365677113,4.535793535,10.51487649,9.969280672,5978.105287,5707.728987,0.529246359
1351,135.1,2829,3.508210812,3.953164648,6.493355056,7.749668257,3.698113962,4.545720521,11.37583472,9.964911213,5875.726158,5704.636668,0.545085683
